qid,query
1049079,who published first measure of intelligence
791843,what is rine n cheese
1054100,what is highest amount in us dollar bill
1054520,what is gold's hardness on the mohs scale
535479,valium iv onset of action
25115,are state muni federally exempt
25496,are the stock markets open
25692,are there interactions between nsaids and antihypertensive drugs?
5333,Nutritional Value of Corn Flakes
559976,what are hid
1084333,what does act stand for in therapy
1091654,phone number for parisian beauty school
1095665,how much money does harvard mba make
1099736,houseleek meaning in french
1102404,why do authors use synecdoche
581082,what can cause abnormal pap smear results
853078,what is the volume of a cylinder
332682,how often to get an oil change
70803,can life estate deed be changed
344221,how to back up to seagate expansion portable drive
655274,what does wps stand for in computer terms
618223,what determines preheat temperature
618653,what did ancient greeks live in
623630,what do inspect mean
100250,cosmology what is the dark ages
102627,cost of attending kennesaw state university
897476,what state has the easiest bar exam
902760,what terminal is american in lax
905151,what time is the academy awards tonight oscars?
781359,what is parachuting
134833,definition of full bird colonel
137311,definition of presbyopia
148708,difference between simple regression and multiple regression
415845,is lactose intolerance an allergy
940940,when did st anne die
155119,do bacteria cells have a ribosomes
941562,when did the first humans
953951,when mae was born
700224,what is a skilled bed in a nursing home
1036478,what is the meaning of public facilities
453686,midpoint formula definition
455372,modification of child support and custody in georgia
195440,gnosticism heresy definition
982481,where is fairview
819662,what is the ear acupuncture for
988643,who is the president of who is the president of finland?
990177,who is kellie ann conway
996195,where was the house they filmed cold creek manor located
736619,"what is culture, urine r"
1002197,when were the first call
746219,what is fallacy mean
234293,how fast is priority express shipping
1021925,what questions what you ask to classify a animal
365946,how to introduce almond milk to baby
1030543,what is the vortex
1032106,what is the specific cause of acne and what occurs
1033485,what is the purpose of the cdc center for disease control and prevention?
248922,how long does a black eye last
1042284,what is the council of vocations
1044123,what is the benefits of using the sauna before workout
1046902,what is root rot disease or fungi
261277,how long for pies to cool to room temperature?
